name,description,stars,forks,language,keywords,platform,package_manager_url,homepage,repository_url,status,rank
gensim,Python framework for fast Vector Space Modelling,13914,4311,Python,"Singular, Value, Decomposition, SVD, Latent, Semantic, Indexing, LSA, LSI, Dirichlet, Allocation, LDA, Hierarchical, Process, HDP, Random, Projections, TFIDF, word2vec, data-mining, data-science, document-similarity, fasttext, gensim, information-retrieval, machine-learning, natural-language-processing, neural-network, nlp, python, topic-modeling, word-embeddings, word-similarity",Pypi,https://pypi.org/project/gensim/,http://radimrehurek.com/gensim,https://github.com/RaRe-Technologies/gensim,,24
transformers,"State-of-the-art Machine Learning for JAX, PyTorch and TensorFlow",80211,17916,Python,"NLP, vision, speech, deep, learning, transformer, pytorch, tensorflow, BERT, GPT-2, Wav2Vec2, ViT, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp-library, pretrained-models, python, pytorch-transformers, seq2seq, speech-recognition",Pypi,https://pypi.org/project/transformers/,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,,24
keras,Deep learning for humans.,57085,19261,Python,"keras, tensorflow, machine, learning, deep, data-science, deep-learning, machine-learning, neural-networks, python",Pypi,https://pypi.org/project/keras/,https://keras.io/,,,22
streamlit,The fastest way to build data apps in Python,22737,2028,Python,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit",Pypi,https://pypi.org/project/streamlit/,https://streamlit.io,https://github.com/streamlit/streamlit,,21
rasa,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",15600,4236,Python,"nlp, machine-learning, machine-learning-library, bot, bots, botkit, rasa, conversational-agents, conversational-ai, chatbot, chatbot-framework, bot-framework, chatbots, chatbots-framework, conversation-driven-development, conversational-bots, mitie, natural-language-processing, nlu, spacy, wit",Pypi,https://pypi.org/project/rasa/,https://rasa.com,https://github.com/rasahq/rasa,,21
tensorflow-datasets,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,3747,1385,Python,"tensorflow, machine, learning, datasets, data, dataset, jax, machine-learning, numpy",Pypi,https://pypi.org/project/tensorflow-datasets/,https://github.com/tensorflow/datasets,https://github.com/tensorflow/datasets,,20
tensorflow-probability,Probabilistic modeling and statistical inference in TensorFlow,3860,1051,Jupyter Notebook,"tensorflow, probability, statistics, bayesian, machine, learning, bayesian-methods, data-science, deep-learning, machine-learning, neural-networks, probabilistic-programming",Pypi,https://pypi.org/project/tensorflow-probability/,http://github.com/tensorflow/probability,https://github.com/tensorflow/probability,,20
datasets,HuggingFace community-driven open-source library of datasets,15149,2002,Python,"datasets, machine, learning, metrics, computer-vision, deep-learning, evaluation, hacktoberfest, machine-learning, natural-language-processing, nlp, numpy, pandas, pytorch, speech, tensorflow",Pypi,https://pypi.org/project/datasets/,https://github.com/huggingface/datasets,https://github.com/huggingface/datasets,,20
thinc,"A refreshing functional take on deep learning, compatible with your favorite libraries",2665,270,Python,"ai, artificial-intelligence, deep-learning, functional-programming, jax, machine-learning, machine-learning-library, mxnet, natural-language-processing, nlp, python, pytorch, spacy, tensorflow, type-checking",Pypi,https://pypi.org/project/thinc/,https://github.com/explosion/thinc,https://github.com/explosion/thinc,,20
Keras-Preprocessing,Easy data preprocessing and data augmentation for deep learning models,1020,455,Python,,Pypi,https://pypi.org/project/Keras-Preprocessing/,https://github.com/keras-team/keras-preprocessing,https://github.com/keras-team/keras-preprocessing,,20
seqeval,Testing framework for sequence labeling,526,88,Python,"conlleval, deep-learning, machine-learning, named-entity-recognition, natural-language-processing, python, sequence-labeling, sequence-labeling-evaluation",Pypi,https://pypi.org/project/seqeval/,https://github.com/chakki-works/seqeval,https://github.com/chakki-works/seqeval,,19
optuna,A hyperparameter optimization framework,7526,797,Python,"distributed, hacktoberfest, hyperparameter-optimization, machine-learning, parallel, python",Pypi,https://pypi.org/project/optuna/,https://optuna.org/,https://github.com/optuna/optuna,,19
imbalanced-learn,Toolbox for imbalanced dataset in machine learning.,6235,1228,Python,"data-analysis, data-science, machine-learning, python, statistics",Pypi,https://pypi.org/project/imbalanced-learn/,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,,19
tf-models-official,TensorFlow Official Models,75184,46138,Jupyter Notebook,,Pypi,https://pypi.org/project/tf-models-official/,https://github.com/tensorflow/models,https://github.com/tensorflow/models,,19
dask-ml,A library for distributed and parallel machine learning,834,237,Python,hacktoberfest,Pypi,https://pypi.org/project/dask-ml/,https://github.com/dask/dask-ml,https://github.com/dask/dask-ml,,18
kedro,Kedro helps you build production-ready data and analytics pipelines,8053,759,Python,"pipelines, machine, learning, data, science, engineering, experiment-tracking, hacktoberfest, kedro, machine-learning, mlops, pipeline, python",Pypi,https://pypi.org/project/kedro/,https://github.com/kedro-org/kedro,https://github.com/kedro-org/kedro,,17
cirq,"A framework for creating, editing, and invoking Noisy Intermediate Scale Quantum (NISQ) circuits.",3657,829,Python,"cirq, nisq, quantum-algorithms, quantum-circuits, quantum-computing",Pypi,https://pypi.org/project/cirq/,http://github.com/quantumlib/cirq,https://github.com/quantumlib/cirq,,17
tensorflow-tensorboard,TensorBoard lets you watch Tensors Flow,6111,1577,TypeScript,"tensorflow, tensorboard, tensor, machine, learning, visualizer",Pypi,https://pypi.org/project/tensorflow-tensorboard/,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,,17
dopamine-rl,Dopamine: A framework for flexible Reinforcement Learning research,9995,1337,Jupyter Notebook,"dopamine, reinforcement, machine, learning, research, ai, google, ml, rl, tensorflow",Pypi,https://pypi.org/project/dopamine-rl/,https://github.com/google/dopamine,https://github.com/google/dopamine,,17
accelerate,Accelerate,3608,323,Python,"deep, learning",Pypi,https://pypi.org/project/accelerate/,https://github.com/huggingface/accelerate,https://github.com/huggingface/accelerate,,17
dm-sonnet,Sonnet is a library for building neural networks in TensorFlow.,9505,1348,Python,"artificial-intelligence, deep-learning, machine-learning, neural-networks, tensorflow",Pypi,https://pypi.org/project/dm-sonnet/,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,,17
bert-tensorflow,BERT,32519,8909,Python,"google, natural-language-processing, natural-language-understanding, nlp, tensorflow",Pypi,https://pypi.org/project/bert-tensorflow/,https://github.com/google-research/bert,https://github.com/google-research/bert,,17
tensorflow-io-gcs-filesystem,TensorFlow IO,614,254,C++,"tensorflow, io, machine, learning, dataset, filesystem, streaming, tensorflow-io",Pypi,https://pypi.org/project/tensorflow-io-gcs-filesystem/,https://github.com/tensorflow/io,https://github.com/tensorflow/io,,17
scann,Scalable Approximate Nearest Neighbor search library,27258,6766,Jupyter Notebook,"machine, learning, ai, machine-learning, research",Pypi,https://pypi.org/project/scann/,https://github.com/google-research/google-research/tree/master/scann,https://github.com/google-research/google-research,,17
neptune-client,Neptune Client,366,37,Python,"MLOps, ML, Experiment, Tracking, Model, Registry, Store, Metadata, comparison, dl, keras, learning, lightgbm, logger, logging, machine, monitoring, optimization, optuna, pytorch, repository, rl, tensorflow, versioning, visualization, xgboost",Pypi,https://pypi.org/project/neptune-client/,https://neptune.ai/,https://github.com/neptune-ai/neptune-client,,17
deepchem,"Deep learning models for drug discovery,         quantum chemistry, and the life sciences.",4125,1456,Python,"deepchem, chemistry, biology, materials-science, life-science, drug-discovery, deep-learning, hacktoberfest, quantum-chemistry",Pypi,https://pypi.org/project/deepchem/,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,,16
tensorlayer,High Level Tensorflow Deep Learning Library for Researcher and Engineer.,7126,1611,Python,"deep, learning, a3c, artificial-intelligence, chatbot, deep-learning, dqn, gan, google, imagenet, neural-network, object-detection, python, reinforcement-learning, tensorflow, tensorflow-tutorial, tensorflow-tutorials, tensorlayer",Pypi,https://pypi.org/project/tensorlayer/,https://github.com/tensorlayer/tensorlayer,https://github.com/tensorlayer/tensorlayer,,16
tensor2tensor,Tensor2Tensor,12904,3159,Python,"tensorflow, machine, learning, deep-learning, machine-learning, machine-translation, reinforcement-learning, tpu",Pypi,https://pypi.org/project/tensor2tensor/,http://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,,16
flax,Flax: A neural network library for JAX designed for flexibility,4010,471,Python,jax,Pypi,https://pypi.org/project/flax/,https://github.com/google/flax,https://github.com/google/flax,,16
