call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"pygame.mixer.music.load(""alarm.mp3"")",14,import pygame,3.0,pygame.mixer.music.load,pygame,Python/alarm clock/alarm.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\alarm clock\alarm.py
import,load,"clf, pp = joblib.load(args[""classiferPath""])",17,from sklearn.externals import joblib,5.0,sklearn.externals.joblib.load,sklearn,Python/digit-recognition-master/performRecognition.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\digit-recognition-master\performRecognition.py
import,load,"model = pickle.load(open('res.pkl', 'rb'))",4,import pickle,2.0,pickle.load,pickle,Python/flight delay/app.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\flight delay\app.py
import,loads,todos=json.loads(response.text),6,import json,1.0,json.loads,json,Python/Jason-Parser/jason-parser.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Jason-Parser\jason-parser.py
assignment_import,fit,"svClassifierLinear.fit(X_train, y_train)",41,"svClassifierLinear = SVC(kernel=""linear"")",40.0,sklearn.svm.SVC.fit,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
assignment_import,fit,"svClassifierPoly.fit(X_train, y_train)",55,"svClassifierPoly = SVC(kernel=""poly"", degree = 8)",54.0,sklearn.svm.SVC.fit,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
assignment_import,fit,"svClassifierRbf.fit(X_train, y_train)",69,"svClassifierRbf = SVC(kernel=""rbf"")",68.0,sklearn.svm.SVC.fit,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
assignment_import,fit_transform,principal_cmpmts = pca.fit_transform(X),99,pca = PCA(n_components = 6),98.0,sklearn.decomposition.PCA.fit_transform,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
assignment_import,fit,"svClassifierLinearPCA.fit(X_train2, y_train2)",110,"svClassifierLinearPCA = SVC(kernel=""linear"")",109.0,sklearn.svm.SVC.fit,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
assignment_import,fit_transform,principal_cmpmts = pca.fit_transform(X),124,pca = PCA(n_components = 6),123.0,sklearn.decomposition.PCA.fit_transform,sklearn,Python/Sports Avalytics/mfile.py,harshareddy794/HACKTOBERFEST2020,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\harshareddy794@HACKTOBERFEST2020\Python\Sports Avalytics\mfile.py
